GO	term	class	p	p_corr	n_genes	n_study	n_go	study_genes	per	class_label
GO:0010544	negative regulation of platelet activation	biological_process	2.68481303047276e-05	0.0014502297551232809	7	4582	7	['PDGFA', 'PDGFB', 'F2', 'PDGFRA', 'THBD', 'C1QTNF1', 'APOE']	1.0	Biological Process
GO:0044208	'de novo' AMP biosynthetic process	biological_process	2.68481303047276e-05	0.0014502297551232809	7	4582	7	['PAICS', 'PFAS', 'ADSS1', 'ATIC', 'GART', 'ADSL', 'ADSS2']	1.0	Biological Process
GO:0051965	positive regulation of synapse assembly	biological_process	2.7812536623947427e-05	0.0014912693659744026	21	4582	40	['EPHB2', 'EPHB3', 'CLSTN3', 'SLITRK2', 'GHRL', 'PTPRD', 'NRXN1', 'SLITRK4', 'RTN4RL1', 'LRRC4B', 'SLITRK3', 'CLSTN2', 'NLGN1', 'SLITRK6', 'RTN4RL2', 'IL1RAP', 'CLSTN1', 'SLITRK1', 'BDNF', 'LRRC15', 'AMIGO2']	0.525	Biological Process
GO:0032930	positive regulation of superoxide anion generation	biological_process	2.864134808425246e-05	0.0014912693659744026	12	4582	17	['TGFB1', 'SYK', 'SOD1', 'ITGAM', 'GSTP1', 'CD177', 'ITGB2', 'MAPT', 'PRKCD', 'AGT', 'CRP', 'APP']	0.7058823529411765	Biological Process
GO:0008154	actin polymerization or depolymerization	biological_process	2.864134808425246e-05	0.0014912693659744026	12	4582	17	['WIPF1', 'SCIN', 'VIL1', 'FLII', 'VASP', 'GHRL', 'GSN', 'CAPG', 'SVIL', 'DSTN', 'ENAH', 'WAS']	0.7058823529411765	Biological Process
GO:0019882	antigen processing and presentation	biological_process	2.864134808425246e-05	0.0014912693659744026	12	4582	17	['RAB32', 'CTSH', 'CTSL', 'RAB10', 'CD74', 'RAB35', 'RAB4A', 'RAB5B', 'CTSS', 'RAB6A', 'RAB8B', 'RAB34']	0.7058823529411765	Biological Process
GO:0002244	hematopoietic progenitor cell differentiation	biological_process	2.864134808425246e-05	0.0014912693659744026	12	4582	17	['FSTL3', 'TGFB1', 'LYN', 'FST', 'KIT', 'INHBA', 'BMP4', 'PRRC2C', 'SBDS', 'SFRP1', 'PTPRC', 'PLEK']	0.7058823529411765	Biological Process
GO:1902430	negative regulation of amyloid-beta formation	biological_process	2.864134808425246e-05	0.0014912693659744026	12	4582	31	['CLU', 'RTN3', 'RTN1', 'ROCK1', 'BIN1', 'NTRK2', 'PIN1', 'PRNP', 'RTN4', 'IGF1', 'APOE', 'SORL1']	0.3870967741935484	Biological Process
GO:0090110	COPII-coated vesicle cargo loading	biological_process	2.864134808425246e-05	0.0014912693659744026	12	4582	17	['SEC24C', 'SEC31A', 'RAB1A', 'SAR1A', 'SEC24D', 'MIA3', 'SEC24A', 'SEC23B', 'SEC23A', 'SURF4', 'SAR1B', 'SEC13']	0.7058823529411765	Biological Process
GO:0006629	lipid metabolic process	biological_process	2.880993477884705e-05	0.0014923546215442772	40	4582	95	['ENPP6', 'ACSL4', 'HSPG2', 'PDE3A', 'ABHD11', 'PNLIP', 'MGST2', 'MGST3', 'PLA1A', 'ACAT2', 'FABP5', 'LIPG', 'TPP1', 'ACOX1', 'PAFAH1B2', 'PAFAH1B3', 'APOF', 'LRP1', 'LRP2', 'MTTP', 'CPNE1', 'PM20D1', 'MGLL', 'HMGCL', 'HSD17B10', 'APOC1', 'APOC4', 'APOD', 'LCAT', 'ANGPTL8', 'TTPA', 'G6PD', 'LDLR', 'ALOX12', 'LEP', 'PLTP', 'ATP5F1A', 'B4GALT1', 'LRP8', 'CYP4B1']	0.4105263157894737	Biological Process
